Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Golden State Warriors,50,12100,43.6,88.8,.491,12.7,32.8,.389,30.9,56.1,.550,17.5,21.3,.821,10.0,36.2,46.1,28.9,7.3,6.3,13.6,21.5,117.5
2,New Orleans Pelicans,51,12240,42.8,88.8,.482,9.7,27.6,.352,33.1,61.3,.540,19.1,24.7,.772,10.8,35.2,45.9,26.3,7.2,5.6,13.8,21.4,114.3
3,Toronto Raptors,52,12605,42.1,89.3,.472,11.5,33.2,.348,30.6,56.1,.545,17.9,22.3,.801,10.2,34.7,44.8,24.4,8.4,5.5,13.2,21.2,113.7
4,Philadelphia 76ers,51,12365,40.5,85.7,.473,11.3,31.0,.364,29.3,54.8,.534,20.7,27.0,.767,10.3,35.9,46.3,27.0,7.4,5.5,14.8,21.7,113.0
5,San Antonio Spurs,52,12580,43.0,89.0,.483,10.3,25.0,.410,32.7,63.9,.512,17.9,21.9,.818,9.4,35.5,44.9,25.3,6.3,4.6,12.5,18.9,114.1
6,Los Angeles Clippers,51,12340,40.5,86.0,.470,9.4,24.5,.382,31.1,61.5,.506,22.3,28.0,.797,9.6,35.2,44.8,22.8,6.2,4.6,13.8,22.6,112.6
7,Brooklyn Nets,52,12655,40.0,88.3,.453,12.3,34.3,.360,27.7,54.0,.513,19.0,25.3,.750,11.5,34.5,46.0,23.3,6.6,4.0,14.5,21.9,111.3
8,Portland Trail Blazers,51,12340,41.6,90.2,.462,11.0,30.5,.359,30.7,59.7,.514,18.8,22.9,.819,11.5,36.8,48.3,22.6,6.6,5.1,13.8,20.6,113.0
9,Milwaukee Bucks,49,11810,42.2,87.9,.480,12.8,36.7,.350,29.4,51.2,.574,16.8,21.9,.767,8.8,38.7,47.5,25.6,7.5,5.9,13.4,19.8,114.0
10,Oklahoma City Thunder,50,12075,41.6,90.4,.460,10.1,29.1,.345,31.5,61.2,.515,17.6,24.7,.712,11.9,34.6,46.5,22.5,9.8,5.2,13.4,21.5,110.8
11,Los Angeles Lakers,51,12315,41.4,87.5,.474,9.9,29.5,.335,31.6,58.0,.544,15.7,22.9,.687,10.0,35.8,45.7,23.8,7.5,5.4,15.0,20.1,108.5
12,Sacramento Kings,50,12025,41.8,89.9,.465,11.2,29.2,.383,30.6,60.7,.504,14.9,21.0,.709,10.4,32.8,43.1,24.9,8.2,4.6,13.2,21.5,109.6
13,Washington Wizards,50,12200,40.7,87.7,.464,11.1,32.4,.344,29.6,55.3,.535,17.7,23.3,.758,8.8,31.0,39.8,25.2,8.8,4.6,13.2,20.6,110.2
14,Phoenix Suns,53,12870,39.5,86.4,.457,9.8,29.3,.333,29.7,57.1,.521,16.5,21.1,.780,8.8,30.9,39.6,23.5,8.9,5.2,15.3,23.7,105.2
15,Houston Rockets,50,12125,39.2,88.3,.444,15.7,45.4,.345,23.6,42.9,.549,20.5,26.4,.778,10.9,31.9,42.8,21.2,8.2,5.5,13.6,23.1,114.6
16,Boston Celtics,50,12100,41.7,90.7,.460,13.2,35.9,.369,28.5,54.9,.519,15.8,19.6,.807,10.4,34.9,45.3,26.0,8.8,5.7,13.1,20.8,112.5
17,Minnesota Timberwolves,50,12050,40.7,90.8,.448,10.2,28.8,.353,30.5,62.0,.493,19.9,25.1,.795,11.6,33.3,44.9,24.3,8.7,5.3,12.7,20.4,111.5
18,Utah Jazz,51,12240,39.4,85.7,.460,11.6,33.5,.345,27.8,52.2,.533,18.8,25.7,.732,9.7,35.6,45.3,25.0,8.5,5.6,14.9,21.2,109.2
19,Charlotte Hornets,49,11885,40.7,90.1,.452,11.7,32.9,.356,29.0,57.2,.507,18.4,23.4,.786,10.0,34.9,44.8,23.7,7.0,5.1,12.3,19.5,111.6
20,Denver Nuggets,49,11810,43.5,92.6,.470,11.3,31.9,.355,32.2,60.7,.530,16.8,22.2,.756,12.7,35.6,48.3,27.9,8.1,4.6,13.5,20.9,115.1
21,Atlanta Hawks,49,11785,39.1,86.5,.452,11.2,33.1,.337,28.0,53.4,.524,16.6,22.3,.744,11.3,32.5,43.8,24.7,8.2,5.1,17.4,23.0,106.0
22,Dallas Mavericks,49,11810,38.9,86.4,.450,12.1,35.0,.345,26.8,51.5,.521,20.1,27.1,.739,10.5,35.6,46.1,22.7,7.4,4.6,14.9,20.1,109.9
23,Cleveland Cavaliers,52,12480,40.1,90.4,.444,9.8,27.5,.357,30.3,62.9,.482,17.0,21.6,.786,11.0,33.0,44.0,21.2,7.0,2.7,13.3,21.3,107.0
24,Indiana Pacers,49,11785,42.5,89.0,.478,9.6,25.7,.373,32.9,63.3,.520,16.1,21.3,.754,9.6,34.8,44.5,26.4,9.1,5.1,14.0,19.6,110.7
25,Orlando Magic,51,12315,40.3,90.3,.446,11.2,32.4,.347,29.1,57.9,.502,14.8,19.2,.772,9.7,35.0,44.7,25.1,6.6,5.5,13.3,19.7,106.6
26,New York Knicks,49,11860,38.8,89.9,.431,10.0,29.2,.341,28.8,60.7,.474,18.6,24.1,.771,11.0,33.0,44.0,19.7,7.4,4.5,13.0,21.5,106.1
27,Detroit Pistons,49,11910,38.9,89.7,.434,11.4,34.4,.332,27.5,55.3,.497,17.5,23.6,.739,11.5,34.3,45.8,22.4,7.1,3.7,14.1,22.8,106.7
28,Chicago Bulls,51,12340,38.7,87.3,.444,9.4,27.0,.348,29.3,60.3,.486,15.4,19.7,.783,8.1,34.2,42.4,21.7,7.9,4.6,14.3,20.9,102.2
29,Memphis Grizzlies,51,12340,38.8,86.0,.452,9.7,28.7,.340,29.1,57.3,.507,17.5,23.2,.755,8.3,33.4,41.7,24.6,9.1,6.1,14.0,23.2,104.9
30,Miami Heat,48,11545,39.9,89.8,.445,11.9,33.6,.355,28.0,56.2,.498,16.2,23.5,.689,11.9,35.7,47.6,24.2,7.6,6.0,14.7,21.7,107.9