Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G
1,Milwaukee Bucks,26.8,36,13,38,11,9.65,-0.79,8.86,114.0,104.6,+9.4,102.4,.249,.418,.585,.553,12.1,20.6,.191,.502,11.9,80.6,.169,Fiserv Forum,452886,17419
2,Golden State Warriors,28.4,36,14,35,15,7.28,-0.15,7.13,117.5,110.3,+7.2,100.5,.240,.369,.598,.563,12.1,23.4,.197,.513,11.1,78.3,.206,Oracle Arena,470304,19596
3,Boston Celtics,25.6,31,19,35,15,6.30,-0.87,5.43,112.5,106.1,+6.4,98.9,.216,.395,.566,.533,11.7,22.7,.174,.504,13.7,77.0,.207,TD Garden,484224,18624
4,Denver Nuggets,24.6,34,15,33,16,5.67,-0.42,5.25,115.1,109.2,+5.9,96.6,.240,.344,.562,.531,11.6,27.9,.182,.520,12.0,78.0,.194,Pepsi Center,475174,18276
5,Toronto Raptors,27.1,37,15,35,17,5.40,-0.23,5.17,113.7,108.3,+5.4,99.3,.250,.372,.574,.537,11.7,23.2,.200,.510,12.7,75.9,.188,Scotiabank Arena,495388,19816
6,Utah Jazz,27.2,29,22,31,20,3.57,0.79,4.36,109.2,105.6,+3.6,99.5,.300,.391,.563,.527,13.3,22.1,.219,.512,12.8,80.1,.188,Vivint Smart Home Arena,439344,18306
7,Oklahoma City Thunder,25.6,32,18,33,17,5.02,-0.85,4.17,110.8,105.9,+4.9,102.7,.273,.323,.547,.516,11.7,26.1,.194,.516,14.5,77.1,.199,Chesapeake Energy Arena,436872,18203
8,Indiana Pacers,26.9,32,17,32,17,4.86,-1.29,3.57,110.7,105.7,+5.0,98.0,.239,.289,.563,.532,12.5,22.4,.181,.515,14.0,77.3,.177,Bankers Life Fieldhouse,419171,16767
9,Portland Trail Blazers,26.2,31,20,30,21,2.63,0.56,3.19,113.0,110.4,+2.6,99.0,.254,.338,.563,.522,12.1,25.5,.208,.515,10.7,78.3,.187,Moda Center,543143,19398
10,San Antonio Spurs,28.9,30,22,30,22,2.54,0.38,2.92,114.1,111.5,+2.6,97.9,.246,.281,.579,.541,11.2,21.4,.201,.528,11.0,78.7,.176,AT&T Center,492902,18256
11,Philadelphia 76ers,26.1,33,18,31,20,3.61,-0.79,2.82,113.0,109.4,+3.6,101.4,.314,.361,.579,.538,13.2,24.1,.241,.508,11.3,78.7,.213,Wells Fargo Center,530040,20386
12,Houston Rockets,29.1,29,21,27,23,1.42,0.53,1.95,114.6,113.2,+1.4,96.9,.299,.514,.574,.533,12.0,23.9,.232,.531,12.6,74.6,.219,Toyota Center,487485,18055
13,New Orleans Pelicans,26.3,23,28,28,23,1.55,0.37,1.92,114.3,112.8,+1.5,102.1,.278,.310,.573,.536,12.2,24.7,.214,.530,11.2,76.7,.199,Smoothie King Center,362376,15755
14,Los Angeles Clippers,27.6,28,23,26,25,0.63,0.60,1.22,112.6,112.0,+0.6,100.5,.325,.285,.573,.525,12.3,22.2,.259,.509,10.5,75.3,.218,STAPLES Center,444720,17105
15,Dallas Mavericks,26.9,22,27,24,24,0.00,0.72,0.72,109.9,109.9,0.0,99.3,.314,.405,.559,.520,13.1,23.9,.232,.518,11.9,77.2,.187,American Airlines Center,497293,19892
16,Minnesota Timberwolves,26.5,24,26,25,25,0.12,0.34,0.46,111.5,111.3,+0.2,99.8,.276,.317,.547,.504,11.1,25.4,.220,.531,13.1,75.1,.186,Target Center,377036,15081
17,Los Angeles Lakers,25.8,26,25,26,25,0.22,-0.14,0.08,108.5,108.3,+0.2,102.7,.262,.337,.556,.530,13.4,22.7,.180,.503,11.7,75.8,.190,STAPLES Center,531916,18997
18,Charlotte Hornets,26.9,24,25,26,23,0.69,-0.96,-0.27,111.6,110.9,+0.7,99.2,.259,.365,.556,.517,10.9,21.9,.204,.528,11.8,77.8,.181,Spectrum Center,399026,15961
19,Brooklyn Nets,25.6,28,24,27,25,0.33,-1.02,-0.69,111.3,111.0,+0.3,99.0,.286,.388,.560,.523,12.7,25.3,.215,.519,11.3,77.0,.194,Barclays Center,386232,14305
20,Miami Heat,26.8,24,24,24,24,0.17,-1.11,-0.94,107.9,107.8,+0.1,97.7,.262,.374,.539,.511,12.8,25.4,.180,.506,12.0,77.4,.205,AmericanAirlines Arena,470805,19617
21,Sacramento Kings,24.7,25,25,22,28,-2.10,0.70,-1.40,109.6,111.7,-2.1,102.8,.234,.325,.553,.527,11.7,22.5,.166,.531,13.7,74.5,.214,Golden 1 Center,403951,16831
22,Memphis Grizzlies,28.3,20,31,20,31,-3.25,1.34,-1.92,104.9,108.3,-3.4,95.1,.270,.333,.545,.508,12.7,18.4,.204,.522,14.2,78.2,.234,FedEx Forum,399321,15359
23,Detroit Pistons,27.1,21,28,20,29,-2.78,0.14,-2.64,106.7,109.5,-2.8,98.0,.263,.383,.533,.497,12.3,24.4,.195,.527,12.6,79.8,.219,Little Caesars Arena,397261,15890
24,Washington Wizards,27.0,21,29,20,30,-3.02,-0.62,-3.64,110.2,113.2,-3.0,100.7,.266,.369,.563,.528,11.9,19.8,.201,.542,14.0,73.4,.210,Capital One Arena,416287,17270
25,Orlando Magic,25.7,20,31,19,32,-3.65,-0.12,-3.77,106.6,110.4,-3.8,97.2,.213,.358,.540,.508,11.8,20.7,.164,.525,11.6,78.7,.192,Amway Center,467237,17081
26,Atlanta Hawks,25.2,16,33,14,35,-7.35,-0.01,-7.36,106.0,113.1,-7.1,103.7,.258,.383,.550,.517,15.3,25.4,.192,.540,13.3,76.4,.239,State Farm Arena,317968,15141
27,New York Knicks,23.4,10,39,12,37,-8.49,0.87,-7.62,106.1,114.5,-8.4,99.6,.268,.325,.528,.487,11.5,22.9,.206,.540,12.1,74.8,.204,Madison Square Garden (IV),402805,19181
28,Phoenix Suns,24.4,11,42,12,41,-9.62,1.54,-8.08,105.2,114.8,-9.6,99.6,.245,.339,.550,.514,13.8,20.2,.191,.543,13.4,73.2,.235,Talking Stick Resort Arena,385100,14812
29,Chicago Bulls,23.8,11,40,11,40,-9.86,0.19,-9.67,102.2,112.2,-10.0,98.3,.225,.310,.533,.498,13.0,18.0,.176,.531,12.1,76.3,.193,United Center,498529,19941
30,Cleveland Cavaliers,25.5,11,41,10,42,-10.71,0.20,-10.51,107.0,118.2,-11.2,95.9,.239,.304,.536,.498,11.8,23.6,.188,.559,11.0,76.8,.188,Quicken Loans Arena,485800,19432
,League Average,26.4,,,25,25,0.00,0.00,0.00,110.4,110.4,,99.5,.262,.353,.558,.523,12.3,23.0,.200,.523,12.3,77.0,.200,,445687,17701